epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5036,1.80302,2.96109,1.36216,0.00382,0.90909,0.39483,0.1681,1.52526,2.96878,1.0624,0.00042,0.00042,0.00042
2,15.0045,1.51048,1.62507,1.12338,0.76433,0.0747,0.38348,0.19395,1.83618,2.91916,1.22851,0.000851486,0.000851486,0.000851486
3,18.3874,1.5594,1.42549,1.1676,0.4409,0.09091,0.21214,0.09479,1.80178,2.87666,1.42936,0.00127426,0.00127426,0.00127426
4,22.1347,1.58284,1.3938,1.24143,0.64767,0.47727,0.51689,0.24532,1.88929,2.24865,1.44147,0.00168832,0.00168832,0.00168832
5,28.3473,1.52441,1.28253,1.18193,0.56568,0.27273,0.28445,0.14006,1.90668,2.56006,1.44259,0.0019208,0.0019208,0.0019208
6,31.9517,1.52113,1.23211,1.19246,0.64231,0.52273,0.55743,0.28075,1.76329,1.81718,1.47653,0.001901,0.001901,0.001901
7,35.2415,1.45256,1.1689,1.1722,0.76813,0.75296,0.79155,0.41345,1.71551,1.25618,1.38768,0.0018812,0.0018812,0.0018812
8,39.0304,1.44822,1.11285,1.14725,0.78806,0.79545,0.80041,0.44172,1.70429,1.23431,1.36339,0.0018614,0.0018614,0.0018614
9,44.599,1.39236,1.09427,1.1408,0.71019,0.83551,0.75963,0.34389,1.85997,1.15505,1.41509,0.0018416,0.0018416,0.0018416
10,47.8626,1.38222,1.0384,1.14035,0.78463,0.81818,0.83008,0.42404,1.69076,0.95734,1.32098,0.0018218,0.0018218,0.0018218
11,51.1551,1.3323,1.00024,1.11179,0.7895,0.68193,0.76075,0.36492,1.7505,1.17369,1.34267,0.001802,0.001802,0.001802
12,54.4623,1.41412,0.98843,1.13726,0.78813,0.84549,0.83399,0.42214,1.71459,1.03874,1.27977,0.0017822,0.0017822,0.0017822
13,59.5865,1.44199,0.97923,1.14111,0.8453,0.84091,0.85175,0.43152,1.67768,1.0706,1.33641,0.0017624,0.0017624,0.0017624
14,63.4699,1.37445,0.96875,1.13801,0.76858,0.83039,0.84189,0.43829,1.7606,0.97288,1.40435,0.0017426,0.0017426,0.0017426
15,66.7188,1.34583,0.93586,1.10468,0.84524,0.86901,0.89729,0.44133,1.69177,1.08664,1.37761,0.0017228,0.0017228,0.0017228
16,70.0012,1.3163,0.87982,1.11339,0.81148,0.88054,0.86452,0.45671,1.60092,0.9423,1.30154,0.001703,0.001703,0.001703
17,74.3638,1.24533,0.86983,1.07875,0.77434,0.79545,0.81215,0.43959,1.67617,1.09642,1.27785,0.0016832,0.0016832,0.0016832
18,79.1906,1.25718,0.82967,1.07337,0.8286,0.77273,0.81535,0.44634,1.70984,0.98982,1.28801,0.0016634,0.0016634,0.0016634
19,82.4353,1.26422,0.8035,1.08359,0.79937,0.79545,0.85515,0.43522,1.68712,0.95478,1.39379,0.0016436,0.0016436,0.0016436
20,85.6901,1.27907,0.83588,1.0877,0.83237,0.84091,0.86477,0.45954,1.71655,0.95558,1.35972,0.0016238,0.0016238,0.0016238
21,89.2794,1.25699,0.82127,1.09051,0.9177,0.7604,0.8747,0.47089,1.69838,0.9605,1.36511,0.001604,0.001604,0.001604
22,94.6977,1.25123,0.82881,1.08375,0.93489,0.84091,0.91107,0.49899,1.66666,0.90485,1.33938,0.0015842,0.0015842,0.0015842
23,97.9763,1.29831,0.84456,1.08022,0.86549,0.87756,0.90266,0.47147,1.63537,0.88353,1.36136,0.0015644,0.0015644,0.0015644
24,101.258,1.19098,0.7889,1.06485,0.9058,0.87431,0.91271,0.49221,1.66126,0.85681,1.30681,0.0015446,0.0015446,0.0015446
25,104.455,1.19485,0.78504,1.04444,0.9247,0.83735,0.86984,0.47144,1.7144,0.86037,1.34839,0.0015248,0.0015248,0.0015248
26,109.483,1.2319,0.76558,1.08075,0.91601,0.84091,0.87793,0.47348,1.73466,0.8614,1.45024,0.001505,0.001505,0.001505
27,113.258,1.16852,0.74253,1.05616,0.90315,0.86364,0.88366,0.47295,1.67685,0.80266,1.4125,0.0014852,0.0014852,0.0014852
28,116.475,1.13543,0.71341,1.02852,0.87371,0.78631,0.81585,0.45885,1.69046,0.9247,1.38335,0.0014654,0.0014654,0.0014654
29,119.668,1.11966,0.72265,1.04183,0.81225,0.88636,0.84545,0.44542,1.67289,0.85106,1.48735,0.0014456,0.0014456,0.0014456
30,124.108,1.15601,0.71678,1.04399,0.92991,0.90909,0.92798,0.51218,1.57111,0.80615,1.30021,0.0014258,0.0014258,0.0014258
31,128.537,1.13,0.70832,1.04014,0.8785,0.82175,0.88467,0.46541,1.7125,0.80063,1.37369,0.001406,0.001406,0.001406
32,131.795,1.12673,0.70252,1.04299,0.90734,0.88636,0.88127,0.48222,1.63744,0.80844,1.35564,0.0013862,0.0013862,0.0013862
33,135.006,1.21174,0.74427,1.05659,0.86336,0.81818,0.85934,0.43558,1.77119,0.86924,1.32399,0.0013664,0.0013664,0.0013664
34,139.121,1.07658,0.69777,1.0224,1,0.81605,0.88586,0.47293,1.62916,0.78547,1.34259,0.0013466,0.0013466,0.0013466
35,144.541,1.07131,0.66975,1.02008,0.88693,0.89144,0.89838,0.51007,1.62007,0.80778,1.38003,0.0013268,0.0013268,0.0013268
36,147.809,1.0887,0.69273,1.02206,0.94062,0.84091,0.93566,0.48316,1.6993,0.8184,1.39047,0.001307,0.001307,0.001307
37,151.085,1.10488,0.69212,1.02149,0.9225,0.86364,0.92111,0.50224,1.6364,0.74657,1.38777,0.0012872,0.0012872,0.0012872
38,154.304,1.08123,0.66306,1.01128,0.82478,0.88636,0.91017,0.5222,1.59989,0.78046,1.36524,0.0012674,0.0012674,0.0012674
39,159.665,1.03859,0.65324,1.00559,0.92215,0.80777,0.88451,0.48886,1.5621,0.82866,1.36754,0.0012476,0.0012476,0.0012476
40,163.362,1.02351,0.62177,0.99371,0.94716,0.79545,0.88974,0.53819,1.56242,0.71651,1.36762,0.0012278,0.0012278,0.0012278
41,166.644,1.05736,0.65354,1.01131,0.93453,0.79545,0.87631,0.50371,1.70138,0.76949,1.41828,0.001208,0.001208,0.001208
42,169.896,0.99731,0.61779,1.00219,0.89589,0.77273,0.85385,0.50426,1.64377,0.83326,1.45656,0.0011882,0.0011882,0.0011882
43,174.444,1.03343,0.62584,1.00685,0.81064,0.87577,0.86611,0.45756,1.61025,0.84549,1.35721,0.0011684,0.0011684,0.0011684
44,179.316,1.06042,0.63604,0.99383,0.91482,0.79545,0.87305,0.48393,1.67052,0.80842,1.41801,0.0011486,0.0011486,0.0011486
45,182.561,1.04895,0.62809,0.98672,0.91994,0.81818,0.90474,0.48411,1.62969,0.79956,1.37705,0.0011288,0.0011288,0.0011288
46,185.815,1.06434,0.64591,1.00407,0.8746,0.84091,0.88587,0.49676,1.6164,0.76193,1.33007,0.001109,0.001109,0.001109
47,189.421,1.02149,0.61987,0.98841,0.93371,0.84091,0.90586,0.50038,1.57767,0.76421,1.3501,0.0010892,0.0010892,0.0010892
48,194.886,0.96816,0.5953,0.96763,0.93433,0.81818,0.88717,0.50225,1.66727,0.77809,1.3495,0.0010694,0.0010694,0.0010694
49,198.665,0.95935,0.57784,0.96977,0.91835,0.76695,0.8513,0.46877,1.67549,0.85127,1.41139,0.0010496,0.0010496,0.0010496
50,201.925,1.02224,0.61688,0.98241,0.8383,0.86364,0.90536,0.51159,1.65963,0.78771,1.40031,0.0010298,0.0010298,0.0010298
51,205.2,1.01542,0.61984,1.00036,0.83259,0.9043,0.88943,0.52455,1.5958,0.77528,1.41595,0.00101,0.00101,0.00101
52,209.684,1.01784,0.59674,0.99418,0.89764,0.79726,0.86983,0.47487,1.67188,0.79858,1.42643,0.0009902,0.0009902,0.0009902
53,214.281,0.9662,0.58102,0.95329,0.94447,0.81818,0.89528,0.49005,1.53002,0.80686,1.40529,0.0009704,0.0009704,0.0009704
54,217.503,0.97925,0.57615,0.98144,0.91939,0.77772,0.86675,0.51006,1.53812,0.84619,1.36391,0.0009506,0.0009506,0.0009506
55,220.763,0.95614,0.58108,0.97667,0.87768,0.81818,0.88792,0.50195,1.60448,0.83355,1.3748,0.0009308,0.0009308,0.0009308
56,224.419,0.92829,0.57735,0.95844,0.88528,0.87701,0.91996,0.49304,1.61945,0.75939,1.39257,0.000911,0.000911,0.000911
57,229.61,0.91618,0.56563,0.95931,0.91809,0.86364,0.92202,0.51215,1.54475,0.69145,1.33005,0.0008912,0.0008912,0.0008912
58,232.913,0.95031,0.58726,0.95616,0.90713,0.86364,0.92061,0.49859,1.62034,0.76253,1.36813,0.0008714,0.0008714,0.0008714
59,236.236,0.94677,0.55953,0.96496,0.94111,0.86364,0.92729,0.5186,1.62192,0.73139,1.39736,0.0008516,0.0008516,0.0008516
60,239.487,0.93987,0.56982,0.98348,0.88983,0.91798,0.92535,0.54927,1.52806,0.68891,1.36551,0.0008318,0.0008318,0.0008318
61,244.615,0.93953,0.56366,0.97827,0.86625,0.90909,0.91406,0.50578,1.55482,0.73146,1.37443,0.000812,0.000812,0.000812
62,248.092,0.89299,0.54549,0.96022,0.84853,0.86364,0.91382,0.51318,1.57753,0.70705,1.40961,0.0007922,0.0007922,0.0007922
63,251.415,0.87446,0.53756,0.95823,0.90186,0.83554,0.9041,0.51643,1.55762,0.71696,1.42782,0.0007724,0.0007724,0.0007724
64,254.716,0.87974,0.54975,0.95168,0.92416,0.83096,0.88656,0.5045,1.65504,0.75918,1.43367,0.0007526,0.0007526,0.0007526
65,259.556,0.90095,0.54982,0.94663,0.92231,0.80959,0.89961,0.50007,1.5784,0.71675,1.42624,0.0007328,0.0007328,0.0007328
66,263.438,0.87662,0.53571,0.94065,0.91019,0.81818,0.91449,0.51008,1.59478,0.73904,1.4176,0.000713,0.000713,0.000713
67,266.647,0.89351,0.5455,0.9439,0.90508,0.81818,0.91039,0.50102,1.62133,0.76186,1.42179,0.0006932,0.0006932,0.0006932
68,269.98,0.86028,0.52807,0.92751,0.87171,0.84091,0.89982,0.51534,1.53697,0.72217,1.42261,0.0006734,0.0006734,0.0006734
69,274.503,0.82244,0.50467,0.94523,0.9432,0.79545,0.90258,0.50204,1.62038,0.73325,1.43018,0.0006536,0.0006536,0.0006536
70,279.517,0.83641,0.48912,0.94476,0.94521,0.78434,0.90102,0.54299,1.55993,0.70708,1.42543,0.0006338,0.0006338,0.0006338
71,282.848,0.86226,0.51712,0.93156,0.94525,0.78494,0.89976,0.52756,1.5652,0.68645,1.411,0.000614,0.000614,0.000614
72,286.035,0.85774,0.50666,0.94619,0.91183,0.81818,0.88913,0.55356,1.55858,0.7688,1.35993,0.0005942,0.0005942,0.0005942
73,289.585,0.88304,0.50928,0.92842,0.9384,0.81818,0.89818,0.54315,1.49967,0.74285,1.30534,0.0005744,0.0005744,0.0005744
